site,distance,n_tussocks,area
8_13_1,60,13,4
8_13_1,62,18,4
8_13_1,64,19,4
8_13_1,66,17,4
8_13_1,68,12,4
8_13_1,70,13,4
8_13_1,72,14,4
8_13_1,74,16,4
8_13_1,76,12,4
8_13_1,78,23,4
8_13_1,80,12,4
8_13_1,82,10,4
8_13_1,84,13,4
8_13_1,86,12,4
8_13_1,88,17,4
8_13_1,90,14,4
8_13_1,92,11,4
8_13_1,94,15,4
8_13_1,96,15,4
8_13_1,98,13,4
8_13_1,100,18,4
8_13_1,102,18,4
8_13_1,104,17,4
8_13_1,106,15,4
8_13_1,108,14,4
8_13_1,110,19,4
8_13_1,112,18,4
8_13_1,114,17,4
8_13_1,116,16,4
8_13_1,118,12,4
8_13_1,120,13,4
8_13_1,122,21,4
8_13_1,124,15,4
8_13_1,126,17,4
8_13_1,128,16,4
8_13_1,130,17,4
8_13_1,132,21,4
8_13_1,134,16,4
8_13_1,136,19,4
8_13_1,138,15,4
8_13_1,140,16,4
8_13_1,142,17,4
8_13_1,144,19,4
8_13_1,146,18,4
8_13_1,148,17,4
8_13_1,150,21,4
8_13_1,152,15,4
8_13_1,154,18,4
8_13_1,156,15,4
8_13_1,158,16,4
8_13_1,160,19,4
8_13_1,162,13,4
8_13_1,164,11,4
8_13_1,166,12,4
8_13_1,168,16,4
8_13_1,170,13,4
8_13_1,172,16,4
8_13_1,174,13,4
8_13_1,176,16,4
8_13_1,178,9,4
8_13_1,180,14,4
8_13_1,182,18,4
8_13_1,184,12,4
8_13_1,186,11,4
8_13_1,188,15,4
8_13_1,190,18,4
8_13_1,192,20,4
8_13_1,194,21,4
8_13_1,196,16,4
8_13_1,198,18,4
8_07_1,0,6,4
8_07_1,2,4,4
8_07_1,4,3,4
8_07_1,6,4,4
8_07_1,8,5,4
8_07_1,10,7,4
8_07_1,12,6,4
8_07_1,14,5,4
8_07_1,16,2,4
8_07_1,18,4,4
8_07_1,20,5,4
8_07_1,22,4,4
8_07_1,24,9,4
8_07_1,26,7,4
8_07_1,28,8,4
8_07_1,30,6,4
8_07_1,32,2,4
8_07_1,34,7,4
8_07_1,36,3,4
8_07_1,38,4,4
8_07_1,40,6,4
8_07_1,42,5,4
8_07_1,44,6,4
8_07_1,46,8,4
8_07_1,48,6,4
8_07_1,50,6,4
8_07_1,52,4,4
8_07_1,54,5,4
8_07_1,56,10,4
8_07_1,58,1,4
8_07_1,60,9,4
8_07_1,62,2,4
8_07_1,64,2,4
8_07_1,66,3,4
8_07_1,68,4,4
8_07_1,70,7,4
8_07_1,72,8,4
8_07_1,74,4,4
8_07_1,76,2,4
8_07_1,78,2,4
8_07_1,80,3,4
8_07_1,82,2,4
8_07_1,84,4,4
8_07_1,86,9,4
8_07_1,88,9,4
8_07_1,90,3,4
8_07_1,92,5,4
8_07_1,94,4,4
8_07_1,96,1,4
8_07_1,98,7,4
