site,distance,diam,mass_overall,mass_above,mass_below,mass_mound
7_23_1,138.6,7.5,82.65649024,3.3261695,4.638079246,75.46956629
7_23_1,139,5.5,42.13556037,2.063478768,2.690141156,38.11477044
7_23_1,139.4,23.5,988.1772534,19.29558085,34.47029986,933.7799987
7_23_1,141,13.5,296.3794002,8.220358522,13.02141219,275.4348583
7_23_1,143.4,15,372.6101201,9.667768337,15.66820505,347.3773139
7_23_1,144.2,9.5,138.1361968,4.786022077,7.024864172,127.0250647
7_23_1,146,18,553.6984122,12.80004825,21.58144704,519.040264
7_23_1,148,8,95.09735398,3.673580709,5.194734374,86.99737429
7_23_1,150.2,11,189.944385,5.997660282,9.087745382,175.4376926
7_23_1,151.4,8.5,108.4843721,4.032907673,5.778342696,99.42522849
7_23_1,152.4,18,553.6984122,12.80004825,21.58144704,519.040264
7_23_1,154.9,5.5,42.13556037,2.063478768,2.690141156,38.11477044
7_23_1,157.2,22,856.2570212,17.43266246,30.6999192,807.5185457
7_23_1,162,22,856.2570212,17.43266246,30.6999192,807.5185457
7_23_1,162.7,6,50.90297554,2.359221613,3.134302227,46.16618618
7_23_1,167,28,1445.899883,25.26882618,46.88972664,1373.523054
7_23_1,169.8,7.5,82.65649024,3.3261695,4.638079246,75.46956629
7_23_1,171.1,17.25,504.7992396,11.98835814,20.02715479,472.5966846
7_23_1,171.8,7,71.15130187,2.991034012,4.108805063,64.83010971
7_23_1,172.2,4.75,30.64289611,1.646617927,2.079490064,27.59686992
7_23_1,173,14,320.7454739,8.693671178,13.88022861,298.4051781
7_23_1,174.1,16,428.6927304,10.67754582,17.54867889,400.4384241
7_23_1,178.9,13,273.0488672,7.756407969,12.18631987,253.4652407
7_23_1,180,13.5,296.3794002,8.220358522,13.02141219,275.4348583
7_23_1,180.3,4,21.09554488,1.263885489,1.537737706,18.90064159
7_23_1,183.6,14.5,346.1536049,9.176190342,14.76255967,322.3835994
7_23_1,187.3,5.5,42.13556037,2.063478768,2.690141156,38.11477044
7_23_1,188.3,8.5,108.4843721,4.032907673,5.778342696,99.42522849
7_23_1,191.9,18.5,587.6570441,13.35144693,22.64531985,551.3273338
7_23_1,193,14.5,346.1536049,9.176190342,14.76255967,322.3835994
7_23_1,195.4,17.5,520.8280037,12.25684936,20.53969132,487.8139441
7_24_1,0,28.194,1467.752135,25.5388287,47.46178594,1394.570971
7_24_1,2,22.86,930.6436548,18.49263835,32.83861739,878.6836572
7_24_1,3,7.62,85.55655958,3.408442782,4.769196034,78.15477166
7_24_1,4.5,12.065,232.176167,6.914518888,10.68912693,215.0408286
7_24_1,5.7,10.033,155.5287265,5.205562968,7.731673204,143.2535579
7_24_1,6.3,6.858,68.05290691,2.898147813,3.963547016,61.96878035
7_24_1,8.9,31.75,1899.869813,30.66267157,58.47137639,1811.60268
7_24_1,11,2.794,9.674921284,0.727494606,0.81884367,8.57526114
7_24_1,12,13.97,319.2541875,8.665011284,13.82803447,296.9986031
7_24_1,12.4,9.398,134.9343783,4.707150742,6.892938231,124.0405178
7_24_1,13,17.145,498.1477319,11.87621439,19.81355431,466.2838809
7_24_1,14.1,21.717,832.5085292,17.0886734,30.00973471,784.8162255
7_24_1,16.8,5.969,50.33334962,2.340484509,3.105917437,45.64245697
7_24_1,19.5,8.763,115.9090532,4.22658377,6.096003139,106.327283
7_24_1,20,17.145,498.1477319,11.87621439,19.81355431,466.2838809
7_24_1,20.9,25.273,1157.339476,21.58158686,39.16722743,1096.024733
7_24_1,22,17.272,506.1989237,12.01190168,20.0720341,473.925242
7_24_1,22.9,0.381,0.127587691,0.033872943,0.024747057,0.106509722
7_24_1,23.5,13.716,306.7781095,8.423690274,13.38952271,285.234824
7_24_1,24,20.066,701.1134549,15.13037049,26.11888127,659.3788542
7_24_1,25.8,13.462,294.5700032,8.184767544,12.95710948,273.7301253
7_24_1,25.2,17.145,498.1477319,11.87621439,19.81355431,466.2838809
7_24_1,28,11.684,216.5422383,6.581279401,10.10340253,200.3673079
7_24_1,28.1,17.78,539.1016725,12.5600243,21.12034081,505.1703527
7_24_1,29.4,17.145,498.1477319,11.87621439,19.81355431,466.2838809
7_24_1,30.8,6.985,70.82048825,2.981173653,4.09335463,64.52452383
7_24_1,31.2,4.445,26.52865962,1.486711713,1.850711647,23.84397501
7_24_1,31.4,17.526,522.5105263,12.2848919,20.59331506,489.4116634
7_24_1,33.5,18.034,555.9730568,12.83728471,21.65309123,521.2021044
7_24_1,35.1,4.191,23.34532169,1.357971914,1.669012556,20.9456965
7_24_1,37.8,29.21,1585.090627,26.96918521,50.50635552,1507.663139
7_24_1,38.5,26.035,1234.489197,22.59133138,41.26479679,1170.131863
7_24_1,39.8,10.922,187.0304949,5.932320016,8.974876196,172.7093854
7_24_1,40.8,16.383,451.2994928,11.07351712,18.29309013,421.8551843
7_24_1,41.2,19.431,653.8052094,14.39964985,24.68468103,614.2924053
7_24_1,43.3,19.177,635.380454,14.11092573,24.12078914,596.7449969
7_24_1,44.3,3.302,13.9078936,0.94082437,1.098038124,12.38918842
7_24_1,44.4,11.43,206.4456493,6.362342117,9.720839707,190.8986911
7_24_1,46.3,29.464,1615.18732,27.33102395,51.28020555,1536.689708
7_24_1,47.6,19.939,691.5090472,14.98321409,25.82925339,650.2220079
7_24_1,49,0.889,0.803944643,0.124820928,0.109592113,0.688448734
7_24_1,49.9,23.368,976.1584259,19.12899647,34.1309784,922.2665588
7_24_1,50.8,21.336,801.1047581,16.6293721,29.09124019,754.809663
7_24_1,51.1,14.224,331.9990865,8.908710386,14.27261754,309.0224272
7_24_1,51.5,12.827,265.2164193,7.598090754,11.90294189,246.0953936
7_24_1,52.8,7.62,85.55655958,3.408442782,4.769196034,78.15477166
7_24_1,53.5,13.335,288.5661704,8.066211994,12.74319849,268.0746258
7_24_1,53.6,28.194,1467.752135,25.5388287,47.46178594,1394.570971
7_24_1,55.6,8.763,115.9090532,4.22658377,6.096003139,106.327283
7_24_1,56.3,6.223,55.10279403,2.495541223,3.341756014,50.03005868
7_24_1,58.1,6.35,57.57509726,2.574368045,3.462452784,52.30652905
7_24_1,59.1,15.748,414.1597406,10.41977824,17.06616312,386.6786432
7_24_1,61,8.382,105.2392026,3.947050166,5.638202708,96.41051544
7_24_1,61.2,21.59,821.9681847,16.93508604,29.70220421,774.7430625
7_24_1,62.9,30.734,1770.265984,29.16537932,55.22516816,1686.370169
7_24_1,63.2,7.874,91.87348576,3.584896469,5.051900759,84.00798882
7_24_1,65.1,8.636,112.2906334,4.132662225,5.941694309,102.9627758
7_24_1,66.7,14.986,371.8550158,9.653882153,15.64253146,346.6636107
7_24_1,67.8,6.35,57.57509726,2.574368045,3.462452784,52.30652905
7_24_1,68.5,11.049,191.7873452,6.038835464,9.158960823,177.163576
7_24_1,69.3,13.462,294.5700032,8.184767544,12.95710948,273.7301253
7_24_1,70.5,7.366,79.48176909,3.235133347,4.493529463,72.53155458
