MATLAB ID,Garden,2016 NumOld,2016 NumNew,2016 LL1 (mm),2016 LL1 (cm),2016 LL2 (mm),2016 LL2 (cm),2016 Total Leaf Count,2016 LL1+LL2,2016 Index,2016 Leaf Area,2017 NumOld,2017 NumNew,2017 LL1 (mm),2017 LL1 (cm),2017 LL2 (mm),2017 LL2 (cm),2017 Total Leaf Count,2017 LL1+LL2,2017 Index,2017 Leaf Area,2017 Stage Class,2017 Comment,2017 Flower (y/n),2017 Type (1-3) 1=dead,2017 # S0 (current yr new),2017 # S1 (last yr new)?
1764,TL,1,1,159,15.9,65,6.5,2,22.4,44.8,219.8232126,2,1,95,9.5,132,13.2,3,22.7,68.1,329.6513921,3,,n,2,0,0
1765,TL,1,2,167,16.7,72,7.2,3,23.9,71.7,346.0777937,1,2,73,7.3,125,12.5,3,19.8,59.4,289.3544959,3,,n,2,0,1
1766,TL,2,1,130,13,96,9.6,3,22.6,67.8,328.2759678,1,2,94,9.4,120,12,3,21.4,64.2,311.6921862,3,,n,3,1,1
1767,TL,1,2,121,12.1,60,6,3,18.1,54.3,265.3377186,2,2,64,6.4,105,10.5,4,16.9,67.6,327.3584578,3,,n,3,1,0
1768,TL,1,1,126,12.6,78,7.8,2,20.4,40.8,200.3565563,2,1,33,3.3,105,10.5,3,13.8,41.4,203.2879883,2,,n,2,0,0
1769,TL,1,2,113,11.3,86,8.6,3,19.9,59.7,290.7581679,1,1,36,3.6,117,11.7,2,15.3,30.6,149.9047979,2,,n,2,0,0
1770,TL,0,2,97,9.7,95,9.5,2,19.2,38.4,188.5904743,1,0,55,5.5,,0,1,5.5,5.5,20.78797003,2,,n,2,0,0
1771,TL,1,2,180,18,67,6.7,3,24.7,74.1,356.9480204,1,1,85,8.5,130,13,2,21.5,43,211.0854119,3,,n,2,0,0
1772,TL,1,2,160,16,76,7.6,3,23.6,70.8,341.9848127,1,2,136,13.6,134,13.4,3,27,81,387.8402687,4,Not found - could be 285 -YES,n,2,0,1
1773,TL,1,2,140,14,87,8.7,3,22.7,68.1,329.6513921,1,2,59,5.9,141,14.1,3,20,60,292.160831,3,,n,3,1,1
1774,TL,1,1,93,9.3,22,2.2,2,11.5,23,111.5550879,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
1775,TL,1,1,82,8.2,20,2,2,10.2,20.4,98.28681361,1,1,61,6.1,93,9.3,2,15.4,30.8,150.9052575,2,loose tag,n,2,0,0
1918,TL,1,2,152,15.2,82,8.2,3,23.4,70.2,339.2511145,1,2,160,16,103,10.3,3,26.3,78.9,378.4947755,4,,n,2,0,0
1919,TL,2,4,123,12.3,122,12.2,6,24.5,147,656.3648855,2,2,110,11,99,9.9,4,20.9,83.6,399.3423899,4,flower bud,n,2,0,0
1920,TL,2,1,142,14.2,98,9.8,3,24,72,347.440103,1,2,137,13.7,75,7.5,3,21.2,63.6,308.9140987,3,,n,2,0,0
1921,TL,2,3,146,14.6,115,11.5,5,26.1,130.5,593.81137,2,3,132,13.2,102,10.2,5,23.4,117,540.3613175,5,,n,2,0,0
1922,TL,1,1,125,12.5,77,7.7,2,20.2,40.4,198.4000264,1,3,124,12.4,100,10,4,22.4,89.6,425.5965441,4,,n,3,1,0
1923,TL,1,3,141,14.1,112,11.2,4,25.3,101.2,475.2103199,1,4,123,12.3,110,11,5,23.3,116.5,538.342453,5,,n,3,1,1
1924,TL,2,1,142,14.2,71,7.1,3,21.3,63.9,310.3036469,1,3,123,12.3,100,10,4,22.3,89.2,423.8588217,4,tag loose,n,2,0,0
1925,TL,1,2,149,14.9,72,7.2,3,22.1,66.3,321.3837136,1,2,169,16.9,102,10.2,3,27.1,81.3,389.1713038,4,,n,2,0,0
1926,TL,1,1,112,11.2,26,2.6,2,13.8,27.6,134.8440994,0,1,92,9.2,0,0,1,9.2,9.2,40.26490807,2,,n,2,0,0
1927,TL,2,3,140,14,90,9,5,23,115,532.2690455,1,4,133,13.3,119,11.9,5,25.2,126,576.2216762,5,,n,3,2,1
1928,TL,2,1,144,14.4,66,6.6,3,21,63,306.1319759,1,3,107,10.7,144,14.4,4,25.1,100.4,471.8371048,5,,n,3,2,1
1929,TL,1,2,126,12.6,64,6.4,3,19,57,278.0888015,1,2,122,12.2,61,6.1,3,18.3,54.9,268.1783545,3,,n,2,0,0
1930,TL,2,2,116,11.6,86,8.6,4,20.2,80.8,386.9523515,2,2,117,11.7,73,7.3,4,19,76,365.5078262,4,,n,2,0,0
1931,TL,2,2,150,15,91,9.1,4,24.1,96.4,454.863419,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
1932,TL,2,1,102,10.2,90,9,3,19.2,57.6,280.9112782,1,2,107,10.7,68,6.8,3,17.5,52.5,256.7915986,3,,n,3,1,0
1933,TL,1,2,124,12.4,65,6.5,3,18.9,56.7,276.6760499,1,1,120,12,74,7.4,2,19.4,38.8,190.5559718,2,,n,2,0,0
1934,TL,1,1,114,11.4,74,7.4,2,18.8,37.6,184.654099,1,0,37,3.7,0,0,1,3.7,3.7,11.25721634,2,,n,2,0,0
1935,TL,2,1,104,10.4,86,8.6,3,19,57,278.0888015,1,1,55,5.5,14,1.4,2,6.9,13.8,64.26549225,2,,n,2,0,0
1936,TL,1,2,118,11.8,66,6.6,3,18.4,55.2,269.5971592,2,2,100,10,119,11.9,4,21.9,87.6,416.889997,4,,n,2,0,0
1937,TL,2,2,115,11.5,87,8.7,4,20.2,80.8,386.9523515,2,2,99,9.9,85,8.5,4,18.4,73.6,354.6887143,4,,n,2,0,1
1938,TL,1,2,109,10.9,44,4.4,3,15.3,45.9,225.1451008,1,1,67,6.7,68,6.8,2,13.5,27,131.8198535,2,loose tag,n,2,0,0
1939,TL,1,2,134,13.4,81,8.1,3,21.5,64.5,313.0797166,1,2,62,6.2,116,11.6,3,17.8,53.4,261.0691984,3,,n,2,0,0
1940,TL,1,2,112,11.2,66,6.6,3,17.8,53.4,261.0691984,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
1941,TL,2,1,116,11.6,66,6.6,3,18.2,54.6,266.758541,1,1,87,8.7,52,5.2,2,13.9,27.8,135.8512846,2,,n,2,0,0
1942,TL,1,1,58,5.8,54,5.4,2,11.2,22.4,108.4999041,1,2,87,8.7,65,6.5,3,15.2,45.6,223.6950218,3,1187 is actually 1189 in field,n,2,0,0
1943,TL,1,1,100,10,47,4.7,2,14.7,29.4,143.8926247,1,2,87,8.7,39,3.9,3,12.6,37.8,185.6388654,2,,n,2,0,0
1944,TL,2,1,121,12.1,89,8.9,3,21,63,306.1319759,2,2,59,5.9,85,8.5,4,14.4,57.6,280.9112782,3,1 clipped,n,2,0,0
1945,TL,2,2,133,13.3,100,10,4,23.3,93.2,441.1553382,3,0,59,5.9,43,4.3,3,10.2,30.6,149.9047979,2,,n,3,1,2
1946,TL,2,1,107,10.7,96,9.6,3,20.3,60.9,296.3627674,1,2,98,9.8,57,5.7,3,15.5,46.5,228.042232,3,loose tag,n,2,0,0
1947,TL,2,1,147,14.7,114,11.4,3,26.1,78.3,375.8155549,1,2,129,12.9,58,5.8,3,18.7,56.1,273.8475202,3,,n,3,1,0
1948,TL,1,1,100,10,35,3.5,2,13.5,27,131.8198535,1,2,137,13.7,67,6.7,3,20.4,61.2,297.7613951,3,,n,2,0,0
1949,TL,1,2,151,15.1,73,7.3,3,22.4,67.2,325.5220926,1,3,93,9.3,109,10.9,4,20.2,80.8,386.9523515,4,1 clipped,n,3,1,1
1950,TL,1,2,147,14.7,67,6.7,3,21.4,64.2,311.6921862,1,2,105,10.5,102,10.2,3,20.7,62.1,301.9512253,3,,n,2,0,0
1951,TL,1,1,110,11,101,10.1,2,21.1,42.2,207.1902871,0,1,89,8.9,0,0,1,8.9,8.9,38.69141367,2,,n,2,0,0
1952,TL,1,2,164,16.4,83,8.3,3,24.7,74.1,356.9480204,1,3,81,8.1,66,6.6,4,14.7,58.8,286.5441254,3,1 clipped,n,2,0,0
1953,TL,1,2,131,13.1,74,7.4,3,20.5,61.5,299.159014,1,3,79,7.9,109,10.9,4,18.8,75.2,361.9086296,4,,n,3,1,1
1954,TL,1,2,114,11.4,50,5,3,16.4,49.2,241.0293849,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
1955,TL,1,1,139,13.9,138,13.8,2,27.7,55.4,270.5424685,0,0,0,0,0,0,0,0,0,-8.447833,6,dead,n,1,0,0
1956,TL,1,2,114,11.4,74,7.4,3,18.8,56.4,275.2622894,0,1,73,7.3,0,0,1,7.3,7.3,30.28240526,2,flower bud,n,2,0,0
1957,TL,1,2,138,13.8,105,10.5,3,24.3,72.9,351.5209778,2,2,81,8.1,105,10.5,4,18.6,74.4,358.302259,4,,n,2,0,0
1958,TL,1,1,140,14,75,7.5,2,21.5,43,211.0854119,2,1,94,9.4,74,7.4,3,16.8,50.4,246.7752228,3,,n,2,0,0
